date,houseId,city,address,houseType,status,numberRooms,numberBathrooms1,numberBathrooms,numberKitchens1,numberKitchens,numberBalconies1,numberBalconies,loungeType,houseSpace,landArea,elevator1,elevator,carParking1,carParking,heating1,heating,price,priceType,priceUS
2020-01-30,240065,RB,-  مدينة رام الله,apartment,A,2,1,1,1,1,0,,صالة,,,0,,0,,0,,500,دولار,500
2020-01-30,240068,B,- الدوحة,apartment,B,3,2,2,1,1,2,2,صاله,130,,1,نعم,1,نعم,0,,1300,شيكل,390
2020-01-30,240071,N,-  مدينة نابلس,apartment,B,2,2,2,1,1,1,1,1,150,,0,,0,,0,,320,دينار,451.2
2020-02-01,240072,H,-  مدينة الخليل,apartment,C,2,2,2,1,1,1,1,موجود,125,,0,,0,,0,,1800,دينار,2538
2020-01-30,240074,RB,- بيتونيا,apartment,B,3,0,,0,,0,,نعم,130,,1,نعم,1,نعم,0,,200,دينار,282
2020-01-30,240075,H,-  مدينة الخليل,apartment,A,3,3,3,1,1,3,3,,174,,1,نعم,1,نعم,1,نعم,3000,شيكل,900
2020-01-30,240079,RB,-  مدينة رام الله,apartment,A,3,2,2,1,1,2,2,1,160,,1,نعم,1,نعم,0,,1200,دولار,1200
2020-01-30,240081,RB,-  مدينة البيرة,apartment,A,2,2,2,1,1,1,1,صالة كبيرة,145,0,0,,1,نعم,0,,600,دولار,600
2020-01-30,240088,RB,-  مدينة رام الله,apartment,B,3,3,3,1,1,1,1,صالة- صالون,160,,1,نعم,1,نعم,1,نعم,600,دولار,600
2020-02-01,240089,N,-  مدينة نابلس,apartment,B,3,-2,-2,1,1,1,1,صالات واسعه,150,0,1,نعم,1,نعم,0,,3300,دينار,4653
2020-01-30,240090,RB,-  مدينة رام الله,apartment,B,1,1,1,1,1,0,,صالة,50,,1,نعم,1,نعم,0,,350,دولار,350
2020-01-30,240091,J,-  مدينة اريحا,apartment,B,2,1,1,1,1,1,1,نعم,,,0,,0,,0,,1000,شيكل,300
2020-01-30,240092,RB,-  مدينة رام الله,apartment,B,3,2,2,1,1,1,1,صالة- صالون,160,,1,نعم,1,نعم,0,,450,دولار,450
2020-02-01,240095,RB,- الطيرة,apartment,B,3,3,3,1,1,1,1,صالة وصالون مطبخ أمريكي,150,,1,نعم,1,نعم,0,,600,دولار,600
2020-02-01,240112,RB,-  مدينة رام الله,apartment,B,3,0,,0,,0,,,,,1,نعم,1,نعم,0,,430,دولار,430
2020-02-01,240113,RB,-  مدينة البيرة,apartment,A,1,1,1,1,1,0,0,صالة,70,,1,نعم,1,نعم,1,نعم,450,دولار,450
2020-02-01,240120,JN,- قباطية,apartment,C,5,2,2,1,1,0,0,نعم صالونين,195,,0,,1,نعم,0,,160000,دينار,225600
2020-02-01,240124,H,-  مدينة الخليل,apartment,B,3,1,1,1,1,1,1,صاله كبيره,116,,0,,1,نعم,0,,800,شيكل,240
2020-02-01,240125,T,- فرعون,apartment,C,3,-2,-2,1,1,-2,-2,صالة,-110,-1,0,,1,نعم,0,,12000,شيكل,3600
2020-02-01,240129,RB,-  مدينة رام الله,apartment,B,3,3,3,1,1,1,1,صالة وصالون,150,,1,نعم,1,نعم,0,,550,دولار,550
2020-02-11,240132,RB,-  مدينة رام الله,apartment,A,3,3,3,1,1,1,1,نعم,165,,1,نعم,1,نعم,0,,650,دولار,650
2020-02-01,240133,RB,-  مدينة رام الله,apartment,B,2,2,2,1,1,2,2,صالة وصالون,130,,0,,0,,0,,1600,شيكل,480
2020-02-01,240134,RB,- بيتونيا,apartment,B,3,2,2,1,1,3,3,نعم,180,,0,,0,,0,,1300,شيكل,390
2020-02-01,240135,RB,-  مدينة رام الله,apartment,B,3,3,3,1,1,2,2,يوجد.,170,,1,نعم,1,نعم,0,,1500,شيكل,450
2020-02-01,240136,RB,-  مدينة رام الله,apartment,B,3,3,3,1,1,2,2,صالة وصالون,160,,1,نعم,1,نعم,0,,1600,شيكل,480
2020-02-01,240139,RB,-  مدينة رام الله,apartment,B,1,2,2,1,1,1,1,يوجد,,,0,,0,,0,,400,دولار,400
2020-02-01,240140,RB,-  مدينة رام الله,apartment,A,3,2,2,1,1,0,,نعم,,,0,,0,,0,,200,دولار,200
2020-02-01,240144,RB,-  مدينة البيرة,apartment,B,5,2,2,1,1,1,1,يوجد صالة,120,,0,,0,,0,,1400,شيكل,420
2020-02-01,240146,RB,-  مدينة البيرة,apartment,B,3,2,2,1,1,1,1,صالة واسعة,140,,1,نعم,0,,0,,1900,شيكل,570
2020-02-01,240154,RB,-  مدينة البيرة,apartment,B,3,3,3,1,1,1,1,2صاله,155,0,1,نعم,1,نعم,0,,550,دولار,550
2020-02-01,240159,RB,-  مدينة رام الله,apartment,B,1,1,1,0,,0,,,20,,1,نعم,1,نعم,0,,600,شيكل,180
2020-02-01,240165,RB,-  مدينة رام الله,apartment,A,1,1,1,1,1,1,1,,70,,1,نعم,1,نعم,1,نعم,400,دولار,400
2020-02-04,240172,RB,-  مدينة رام الله,apartment,B,3,3,3,1,1,2,2,صالة كبيرةَ,185,,1,نعم,0,,1,نعم,1550,شيكل,465
2020-02-01,240183,RB,-  مدينة رام الله,apartment,B,3,3,3,1,1,1,1,صالة- صالون,160,,1,نعم,1,نعم,1,نعم,600,دولار,600
2020-02-01,240184,RB,-  مدينة رام الله,apartment,A,1,1,1,1,1,0,,صالة,,,1,نعم,1,نعم,1,نعم,550,دولار,550
2020-02-01,240187,RB,- بير نبالا,apartment,B,2,1,1,1,1,1,1,صالون,130,,0,,0,,0,,700,شيكل,210
2020-02-01,240188,RB,- بير نبالا,apartment,B,3,3,3,1,1,3,3,صالون,200,,0,,0,,0,,1300,شيكل,390
2020-02-01,240191,RB,- بيتونيا,apartment,B,1,1,1,1,1,1,1,صالة صغيرة,,,1,نعم,1,نعم,0,,900,شيكل,270
2020-02-02,240192,RB,-  مدينة البيرة,Roof,B,3,3,3,1,1,3,3,صالة كبيرة,180,180,1,نعم,1,نعم,0,,750,دولار,750
2020-02-02,240193,RB,-  مدينة رام الله,apartment,A,3,2,2,1,1,1,1,2,200,,1,نعم,1,نعم,0,,450,شيكل,135
2020-02-02,240197,T,-  مدينة طولكرم,apartment,A,3,2,2,1,1,2,2,صالة كبيرة,145,,0,,1,نعم,0,,2500,شيكل,750
2020-02-02,240198,B,- الدوحة,apartment,B,3,2,2,1,1,2,2,صالة كبيرة,140,,1,نعم,1,نعم,0,,300,دينار,423
2020-02-02,240204,N,- عسكر,apartment,C,2,2,2,1,1,0,,صالة ضيوف,100,,0,,0,,0,,600,شيكل,180
2020-02-02,240205,RB,-  مدينة رام الله,apartment,B,1,1,1,1,1,0,0,0,20,,0,,0,,0,,200,دولار,200
2020-02-02,240206,RB,-  مدينة رام الله,apartment,A,2,2,2,1,1,1,1,1,,,1,نعم,1,نعم,0,,600,دولار,600
2020-02-02,240207,B,-  مدينة بيت لحم,apartment,A,3,2,2,1,1,3,3,صاله كبيره,190,,0,,1,نعم,0,,1800,شيكل,540
2020-02-02,240208,RB,-  مدينة رام الله,apartment,B,3,3,3,1,1,1,1,صالة وصالون,170,,1,نعم,1,نعم,0,,700,دولار,700
2020-02-02,240209,RB,-  مدينة رام الله,apartment,B,3,2,2,1,1,0,,يوجد.,140,,1,نعم,1,نعم,0,,500,دولار,500
2020-02-02,240210,RB,-  مدينة رام الله,apartment,A,3,1,1,1,1,0,,يوجد.,100,,1,نعم,1,نعم,0,,700,دولار,700
2020-02-02,240213,RB,- بير زيت,apartment,B,3,1,1,1,1,2,2,صاله واسعه,,,0,,0,,0,,280,دينار,394.8
2020-02-02,240214,RB,-  مدينة رام الله,apartment,A,1,1,1,1,1,0,,صالة كبيرة,110,500,0,,0,,0,,1000,شيكل,300
2020-02-02,240215,RB,-  مدينة رام الله,apartment,C,3,2,2,1,1,2,2,1,200,240,1,نعم,1,نعم,1,نعم,180000,دولار,180000
2020-02-02,240217,RB,-  مدينة البيرة,apartment,B,3,2,2,1,1,2,2,1,160,90,0,,1,نعم,1,نعم,550,دولار,550
2020-02-04,240218,N,-  مدينة نابلس,apartment,B,2,1,1,1,1,0,,صالة,100,,0,,0,,0,,600,شيكل,180
2020-02-02,240222,RB,- رافات,apartment,B,2,2,2,1,1,1,1,2,135,500,1,نعم,1,نعم,0,,1200,شيكل,360
2020-02-03,240224,RB,-  مدينة البيرة,apartment,B,3,2,2,1,1,0,,صالة كبيرة,,,0,,0,,0,,1450,شيكل,435
2020-02-02,240225,RB,-  مدينة رام الله,apartment,B,2,2,2,1,1,2,2,يوجد صالة وصالون,150,30,0,,1,نعم,1,نعم,500,دولار,500
2020-02-04,240229,RB,-  مدينة البيرة,apartment,B,1,1,1,1,1,0,,1,,,0,,0,,0,,1100,شيكل,330
2020-02-02,240231,RB,-  مدينة رام الله,apartment,B,3,2,2,1,1,1,1,1,160,0,1,نعم,1,نعم,0,,500,دولار,500
2020-02-02,240232,RB,-  مدينة رام الله,apartment,B,3,2,2,1,1,1,1,1,160,0,1,نعم,1,نعم,0,,500,دولار,500
2020-02-04,240233,RB,-  مدينة رام الله,apartment,A,3,2,2,1,1,1,1,1,160,0,1,نعم,1,نعم,0,,600,دولار,600
2020-02-02,240234,RB,-  مدينة رام الله,apartment,A,3,3,3,1,1,1,1,1,180,0,1,نعم,1,نعم,1,نعم,1100,دولار,1100
2020-02-02,240235,RB,-  مدينة البيرة,apartment,A,1,1,1,1,1,0,,,,,0,,0,,0,,350,دولار,350
2020-02-02,240236,RB,-  مدينة البيرة,apartment,A,3,3,3,1,1,1,1,1,180,0,1,نعم,1,نعم,0,,700,دولار,700
2020-02-02,240239,RB,-  مدينة رام الله,apartment,B,3,3,3,1,1,1,1,صالة+صالون,160,,1,نعم,1,نعم,1,نعم,600,دولار,600
2020-02-02,240241,RB,-  مدينة البيرة,apartment,B,2,2,2,1,1,1,1,,110,,0,,1,نعم,0,,400,دولار,400
2020-02-02,240242,RB,-  مدينة رام الله,apartment,A,1,1,1,1,1,1,1,صالة,,,1,نعم,1,نعم,0,,550,دولار,550
2020-02-02,240243,RB,- بير نبالا,apartment,A,2,1,1,1,1,1,1,صالون,120,,0,,1,نعم,0,,1500,شيكل,450
2020-02-03,240245,B,- بيت جالا,apartment,A,1,1,1,1,1,0,0,لا يوجد,25,25,1,نعم,1,نعم,1,نعم,1000,شيكل,300
2020-02-03,240248,N,-  مدينة نابلس,apartment,C,3,2,2,1,1,2,2,مع صاله,170,,1,نعم,1,نعم,0,,4000,دينار,5640
2020-02-03,240258,RB,-  مدينة رام الله,apartment,A,1,1,1,1,1,2,2,1,70,,1,نعم,1,نعم,1,نعم,550,دولار,550
2020-02-03,240260,RB,- بيتونيا,apartment,A,3,2,2,1,1,0,,0,115,,1,نعم,1,نعم,0,,1800,شيكل,540
2020-03-02,240262,RB,-  مدينة رام الله,apartment,A,1,1,1,1,1,1,1,يوجد صالة,,,0,,0,,0,,500,دولار,500
2020-02-03,240267,B,-  مدينة بيت لحم,apartment,B,3,3,3,1,1,1,1,,150,,0,,0,,0,,2000,شيكل,600
2020-02-03,240274,RB,-  مدينة رام الله,apartment,A,3,3,3,1,1,2,2,1,180,,1,نعم,1,نعم,1,نعم,950,دولار,950
2020-02-03,240277,RB,-  مدينة رام الله,apartment,A,3,3,3,1,1,2,2,1,190,120,1,نعم,1,نعم,1,نعم,1000,دولار,1000
2020-02-03,240283,RB,-  مدينة البيرة,apartment,B,3,2,2,1,1,2,2,,300,,0,,0,,0,,1500,شيكل,450
2020-02-08,240284,RB,-  مدينة البيرة,apartment,B,2,1,1,1,1,0,,1,100,,0,,0,,0,,1000,شيكل,300
2020-02-03,240285,RB,-  مدينة رام الله,apartment,B,3,2,2,1,1,0,,2,,,1,نعم,1,نعم,0,,500,دولار,500
2020-02-03,240286,RB,-  مدينة رام الله,apartment,A,3,1,1,1,1,0,,1,,,1,نعم,0,,0,,700,دولار,700
2020-02-03,240287,RB,- بيتونيا,apartment,B,4,2,2,2,2,2,2,نعم,160,,1,نعم,1,نعم,0,,1500,شيكل,450
2020-02-03,240290,RB,-  مدينة البيرة,apartment,B,2,2,2,1,1,1,1,صالون وصالة,140,,1,نعم,1,نعم,0,,1600,شيكل,480
2020-02-08,240291,RB,- الطيرة,apartment,A,3,2,2,1,1,2,2,صالة واسعة,170,0,1,نعم,1,نعم,1,نعم,500,دولار,500
2020-02-03,240292,RB,-  مدينة البيرة,apartment,A,3,3,3,1,1,2,2,صالة+صالون,170,,1,نعم,1,نعم,1,نعم,700,دولار,700
2020-02-03,240294,RB,-  مدينة رام الله,apartment,A,3,3,3,1,1,1,1,1,170,0,1,نعم,1,نعم,1,نعم,800,دولار,800
2020-02-03,240296,RB,-  مدينة البيرة,apartment,A,2,3,3,1,1,1,1,1,170,0,1,نعم,1,نعم,1,نعم,1000,دولار,1000
2020-02-03,240297,RB,- بيتونيا,apartment,A,3,-1,-1,1,1,0,,صالة كبيرة,,,0,,1,نعم,0,,450,شيكل,135
2020-02-03,240299,RB,-  مدينة رام الله,apartment,B,3,3,3,1,1,1,1,,,,1,نعم,1,نعم,1,نعم,600,دولار,600
2020-02-03,240301,RB,-  مدينة البيرة,apartment,B,2,2,2,1,1,1,1,صالة,110,,0,,0,,0,,400,دولار,400
2020-02-04,240302,RB,-  مدينة رام الله,apartment,B,3,3,3,1,1,1,1,صالة+صالون,,,1,نعم,1,نعم,1,نعم,600,دولار,600
2020-02-03,240303,RB,-  مدينة رام الله,apartment,B,3,2,2,1,1,1,1,صالة كبيرة,140,,1,نعم,1,نعم,0,,1900,شيكل,570
2020-02-05,240313,RB,-  مدينة رام الله,apartment,A,2,1,1,1,1,1,1,صاله,,,1,نعم,1,نعم,0,,2000,شيكل,600
2020-02-04,240316,RB,-  مدينة رام الله,apartment,B,3,-3,-3,1,1,0,,,-150,,1,نعم,1,نعم,0,,450,دولار,450
2020-02-04,240317,B,- الدوحة,apartment,B,2,1,1,1,1,2,2,,70,,0,,0,,0,,1200,شيكل,360
2020-02-05,240320,RB,- بيتونيا,apartment,B,2,2,2,1,1,0,0,نعم,0,,0,,0,,0,,400,شيكل,120
2020-02-04,240321,RB,-  مدينة رام الله,apartment,B,3,2,2,1,1,1,1,صالة وصالون,140,,1,نعم,1,نعم,0,,500,دولار,500
2020-02-08,240322,RB,-  مدينة رام الله,apartment,A,1,0,,0,,0,,,,,1,نعم,1,نعم,1,نعم,1600,شيكل,480
2020-02-04,240323,RB,- بيتونيا,apartment,B,3,2,2,1,1,1,1,صالة وصالون,140,,1,نعم,1,نعم,0,,500,دولار,500
2020-02-04,240324,RB,-  مدينة رام الله,apartment,B,2,2,2,1,1,2,2,صالة وصالون,130,,0,,0,,0,,450,دولار,450
2020-02-04,240325,RB,- الطيرة,apartment,A,3,3,3,1,1,1,1,صالة وصالون مطبخ أمريكي,150,,1,نعم,1,نعم,0,,600,دولار,600
2020-02-19,240327,T,-  مدينة طولكرم,apartment,C,3,1,1,1,1,1,1,صالة وسط,120,,1,نعم,1,نعم,0,,1300,شيكل,390
2020-02-04,240330,N,-  مدينة نابلس,apartment,A,3,2,2,1,1,2,2,صالة كبيرة,,,1,نعم,1,نعم,0,,3300,دينار,4653
2020-02-04,240337,RB,-  مدينة البيرة,apartment,A,3,3,3,1,1,2,2,ضالون وصالة وسفرة,180,,1,نعم,1,نعم,0,,800,دولار,800
2020-02-04,240342,RB,-  مدينة رام الله,apartment,A,3,3,3,1,1,3,3,1,165,,1,نعم,1,نعم,1,نعم,800,دولار,800
2020-02-05,240344,N,-  مدينة نابلس,apartment,A,3,2,2,1,1,1,1,يوجد,,,0,,0,,0,,600,شيكل,180
2020-02-04,240346,RB,-  مدينة البيرة,apartment,B,3,2,2,1,1,1,1,صالة- صالون,140,,1,نعم,1,نعم,0,,1900,شيكل,570
2020-02-04,240347,RB,- بيتونيا,apartment,A,2,2,2,1,1,1,1,2,120,,1,نعم,1,نعم,0,,500,دولار,500
2020-02-04,240348,RB,-  مدينة البيرة,apartment,B,3,2,2,1,1,1,1,1,,120,1,نعم,1,نعم,0,,500,دولار,500
2020-02-04,240351,RB,-  مدينة رام الله,apartment,A,3,3,3,1,1,1,1,1,160,,1,نعم,1,نعم,1,نعم,800,دولار,800
2020-02-04,240356,RB,-  مدينة البيرة,apartment,A,2,1,1,1,1,1,1,يوجد صاله كبيره,120,1000,0,,1,نعم,0,,600,دولار,600
2020-02-04,240357,RB,-  مدينة رام الله,apartment,A,1,1,1,1,1,0,,,,,0,,0,,0,,350,دولار,350
2020-02-04,240358,RB,- بيتونيا,apartment,A,2,2,2,1,1,1,1,صالة واسعه مفتوحة,120,,1,نعم,1,نعم,0,,2200,شيكل,660
2020-02-04,240361,RB,-  مدينة رام الله,apartment,B,3,2,2,1,1,1,1,1,155,0,1,نعم,1,نعم,0,,500,دولار,500
2020-02-04,240362,RB,-  مدينة رام الله,apartment,A,3,2,2,1,1,1,1,1,155,0,1,نعم,1,نعم,0,,600,دولار,600
2020-02-07,240363,RB,-  مدينة رام الله,apartment,A,2,2,2,1,1,1,1,1,170,0,1,نعم,1,نعم,1,نعم,1100,دولار,1100
2020-02-04,240364,RB,- بيتونيا,apartment,B,1,1,1,1,1,1,1,صالة,,,1,نعم,1,نعم,0,,900,شيكل,270
2020-02-05,240365,RB,-  مدينة رام الله,apartment,A,3,1,1,1,1,0,0,صاله كبيره,90,,1,نعم,0,,0,,700,دولار,700
2020-02-05,240367,RB,- بيتونيا,apartment,A,2,2,2,1,1,0,,يوجد.,130,,1,نعم,1,نعم,0,,500,دولار,500
2020-02-08,240368,RB,-  مدينة البيرة,apartment,B,3,1,1,1,1,0,,يوجد.,280,,0,,0,,0,,600,دولار,600
2020-02-05,240369,RB,-  مدينة رام الله,apartment,A,2,2,2,1,1,2,2,صالة كبية وسفرة,110,,1,نعم,1,نعم,1,نعم,800,دولار,800
2020-02-10,240371,N,-  مدينة نابلس,apartment,A,2,2,2,1,1,1,1,يوجد,90,,0,,0,,0,,2400,شيكل,720
2020-02-05,240375,RB,-  مدينة رام الله,apartment,A,1,1,1,1,1,0,0,صاله صغيره,45,,1,نعم,1,نعم,0,,500,دولار,500
2020-02-05,240376,T,-  مدينة طولكرم,apartment,A,2,2,2,1,1,0,,صالة كبيرة,100,,0,,0,,0,,180,شيكل,54
2020-02-05,240381,RB,- الطيرة,apartment,B,3,2,2,1,1,0,,صالة كبيرة,150,,1,نعم,1,نعم,1,نعم,500,دولار,500
2020-02-05,240383,RB,-  مدينة البيرة,apartment,B,3,3,3,1,1,1,1,صالة مفتوحة على المطبخ,124,,1,نعم,1,نعم,0,,500,دولار,500
2020-02-05,240385,RB,-  مدينة البيرة,apartment,B,6,2,2,1,1,1,1,المكان عبارة   شقة ارضية غير مقسمة كلها مفتوحة 190 مترمربع,190,,0,,0,,0,,1200,دولار,1200
2020-02-05,240388,B,- بيت جالا,apartment,A,2,-1,-1,1,1,0,0,صالة,140,,0,,1,نعم,0,,1400,شيكل,420
2020-02-05,240396,RB,-  مدينة رام الله,apartment,B,3,3,3,1,1,1,1,صالة وصالون,140,,1,نعم,1,نعم,0,,500,دولار,500
2020-02-05,240398,JN,-  مدينة جنين,apartment,C,4,2,2,1,1,1,1,صالة كبيرة,130,,0,,0,,0,,180,دينار,253.8
2020-02-05,240399,RB,-  مدينة البيرة,apartment,B,2,2,2,1,1,2,2,صاله وصالون,130,,0,,0,,0,,425,دولار,425
2020-02-05,240403,N,-  مدينة نابلس,apartment,B,3,2,2,1,1,1,1,يوجد,150,,1,نعم,1,نعم,0,,3000,دينار,4230
2020-02-05,240404,N,-  مدينة نابلس,apartment,B,3,2,2,1,1,0,,صالة,200,,1,نعم,0,,0,,2800,دينار,3948
2020-02-05,240408,RB,-  مدينة رام الله,apartment,B,3,2,2,1,1,1,1,صالة- صالون,140,,1,نعم,1,نعم,0,,550,دولار,550
2020-02-05,240409,RB,-  مدينة رام الله,apartment,B,3,2,2,1,1,1,1,صالة- صالون,140,,1,نعم,1,نعم,0,,550,دولار,550
2020-02-05,240412,RB,-  مدينة البيرة,apartment,B,3,2,2,1,1,2,2,2صالة,140,0,1,نعم,1,نعم,0,,500,دولار,500
2020-02-05,240413,RB,- بيتونيا,apartment,D,3,-4,-4,1,1,2,2,نعم,165,1000,0,,0,,0,,1500,شيكل,450
2020-02-08,240414,RB,- بيتونيا,apartment,B,3,2,2,1,1,1,1,صالة كبيرة,127,,1,نعم,1,نعم,0,,550,دولار,550
2020-02-05,240415,RB,-  مدينة رام الله,apartment,A,3,2,2,1,1,1,1,1,,,1,نعم,1,نعم,0,,600,دولار,600
2020-02-05,240416,RB,-  مدينة رام الله,apartment,A,3,3,3,1,1,1,1,2,,,1,نعم,1,نعم,0,,650,دولار,650
2020-02-05,240423,RB,-  مدينة البيرة,apartment,B,3,-2,-2,1,1,-1,-1,صالة كبيرة,150,,0,,1,نعم,0,,450,دولار,450
2020-02-05,240424,RB,-  مدينة رام الله,apartment,B,3,3,3,1,1,0,,يوجد,150,,1,نعم,1,نعم,1,نعم,500,دولار,500
2020-02-06,240425,RB,-  مدينة البيرة,apartment,B,2,1,1,1,1,1,1,صالة كبيرة,120,,0,,1,نعم,0,,1600,شيكل,480
2020-02-05,240428,RB,-  مدينة رام الله,apartment,B,3,2,2,1,1,1,1,صالة+صالون,140,,1,نعم,1,نعم,0,,1500,شيكل,450
2020-02-05,240429,RB,-  مدينة البيرة,apartment,A,3,2,2,1,1,1,1,صالة+صالون,160,,1,نعم,1,نعم,0,,700,دولار,700
2020-02-06,240434,RB,-  مدينة رام الله,apartment,B,3,3,3,1,1,1,1,1,140,,1,نعم,1,نعم,0,,550,دولار,550
2020-02-06,240437,RB,- بيتونيا,apartment,B,3,1,1,1,1,1,1,صالة كبيرة,130,123,0,,0,,0,,800,شيكل,240
2020-02-06,240438,B,-  مدينة بيت لحم,apartment,B,3,2,2,1,1,2,2,صاله واسعه,140,,1,نعم,0,,0,,500,دولار,500
2020-02-06,240439,RB,-  مدينة رام الله,apartment,A,3,3,3,1,1,1,1,1,200,200,1,نعم,1,نعم,0,,300,دولار,300
2020-02-06,240442,RB,- الطيرة,apartment,A,3,3,3,1,1,1,1,صالة وصالون مطبخ أمريكي,150,,1,نعم,1,نعم,0,,600,دولار,600
2020-02-06,240443,B,- بيت جالا,apartment,A,3,2,2,1,1,2,2,صالة كبيرة,180,400,0,,1,نعم,1,نعم,1100,دولار,1100
2020-02-06,240449,RB,-  مدينة رام الله,apartment,A,3,3,3,1,1,1,1,1,160,1000,1,نعم,1,نعم,0,,700,دولار,700
2020-02-06,240451,N,-  مدينة نابلس,apartment,C,3,2,2,1,1,3,3,صالة كبيرة,144,,1,نعم,0,,0,,3500,دينار,4935
2020-02-06,240460,RB,-  مدينة رام الله,apartment,A,1,0,,1,1,0,,صااون وسفرة,50,,1,نعم,1,نعم,1,نعم,550,دولار,550
2020-02-11,240469,RB,-  مدينة رام الله,apartment,B,2,3,3,1,1,1,1,صاله وصالون,,,1,نعم,1,نعم,1,نعم,550,دولار,550
2020-02-06,240476,RB,-  مدينة رام الله,apartment,B,2,2,2,0,,1,1,2,,,1,نعم,1,نعم,0,,450,دولار,450
2020-02-06,240480,RB,-  مدينة رام الله,apartment,B,3,2,2,1,1,1,1,2,,,1,نعم,1,نعم,0,,500,دولار,500
